time	V(n006)
0.000000000000000e+00	3.299960e-04
3.906249889523705e-12	3.299960e-04
7.812499779047410e-12	3.299960e-04
1.562499955809482e-11	3.299960e-04
3.124999911618964e-11	3.299960e-04
6.249999823237928e-11	3.299960e-04
1.249999964647586e-10	3.299960e-04
2.499999929295171e-10	3.299960e-04
4.999999858590343e-10	3.299960e-04
9.999999717180685e-10	3.299960e-04
1.999999943436137e-09	3.299960e-04
3.999999886872274e-09	3.299960e-04
7.999999773744548e-09	3.299960e-04
1.599999954748910e-08	3.299960e-04
3.199999909497819e-08	3.299960e-04
6.399999818995639e-08	3.299960e-04
1.279999963799128e-07	3.299960e-04
2.559999927598255e-07	3.299960e-04
5.119999855196511e-07	3.299960e-04
9.026249855196511e-07	3.299960e-04
1.293249985519651e-06	3.299960e-04
1.683874985519651e-06	3.299960e-04
2.074499985519651e-06	3.299960e-04
2.465124985519651e-06	3.299960e-04
2.855749985519651e-06	3.299960e-04
3.246374985519651e-06	3.299960e-04
3.636999985519652e-06	3.299960e-04
4.027624985519652e-06	3.299960e-04
4.418249985519652e-06	3.299960e-04
4.808874985519652e-06	3.299960e-04
5.199499985519652e-06	3.299960e-04
5.590124985519653e-06	3.299960e-04
5.980749985519653e-06	3.299960e-04
6.371374985519653e-06	3.299960e-04
6.761999985519653e-06	3.299960e-04
7.152624985519653e-06	3.299960e-04
7.543249985519653e-06	3.299960e-04
7.933874985519654e-06	3.299960e-04
8.324499985519653e-06	3.299960e-04
8.715124985519652e-06	3.299960e-04
9.105749985519652e-06	3.299960e-04
9.496374985519651e-06	3.299960e-04
9.886999985519650e-06	3.299960e-04
1.027762498551965e-05	3.299960e-04
1.066824998551965e-05	3.299960e-04
1.105887498551965e-05	3.299960e-04
1.144949998551965e-05	3.299960e-04
1.184012498551965e-05	3.299960e-04
1.223074998551965e-05	3.299960e-04
1.262137498551965e-05	3.299960e-04
1.301199998551964e-05	3.299960e-04
1.340262498551964e-05	3.299960e-04
1.379324998551964e-05	3.299960e-04
1.418387498551964e-05	3.299960e-04
1.457449998551964e-05	3.299960e-04
1.496512498551964e-05	3.299960e-04
1.535574998551964e-05	3.299960e-04
1.574637498551964e-05	3.299960e-04
1.613699998551964e-05	3.299960e-04
1.652762498551965e-05	3.299960e-04
1.691824998551965e-05	3.299960e-04
1.730887498551965e-05	3.299960e-04
1.769949998551965e-05	3.299960e-04
1.809012498551965e-05	3.299960e-04
1.848074998551965e-05	3.299960e-04
1.887137498551965e-05	3.299960e-04
1.926199998551965e-05	3.299960e-04
1.965262498551965e-05	3.299960e-04
2.004324998551965e-05	3.299960e-04
2.043387498551966e-05	3.299960e-04
2.082449998551966e-05	3.299960e-04
2.121512498551966e-05	3.299960e-04
2.160574998551966e-05	3.299960e-04
2.199637498551966e-05	3.299960e-04
2.238699998551966e-05	3.299960e-04
2.277762498551966e-05	3.299960e-04
2.316824998551966e-05	3.299960e-04
2.355887498551966e-05	3.299960e-04
2.394949998551967e-05	3.299960e-04
2.434012498551967e-05	3.299960e-04
2.473074998551967e-05	3.299960e-04
2.512137498551967e-05	3.299960e-04
2.551199998551967e-05	3.299960e-04
2.590262498551967e-05	3.299960e-04
2.629324998551967e-05	3.299960e-04
2.668387498551967e-05	3.299960e-04
2.707449998551967e-05	3.299960e-04
2.746512498551967e-05	3.299960e-04
2.785574998551968e-05	3.299960e-04
2.824637498551968e-05	3.299960e-04
2.863699998551968e-05	3.299960e-04
2.902762498551968e-05	3.299960e-04
2.941824998551968e-05	3.299960e-04
2.980887498551968e-05	3.299960e-04
3.019949998551968e-05	3.299960e-04
3.059012498551968e-05	3.299960e-04
3.098074998551968e-05	3.299960e-04
3.137137498551967e-05	3.299960e-04
3.176199998551967e-05	3.299960e-04
3.215262498551967e-05	3.299960e-04
3.254324998551967e-05	3.299960e-04
3.293387498551966e-05	3.299960e-04
3.332449998551966e-05	3.299960e-04
3.371512498551966e-05	3.299960e-04
3.410574998551966e-05	3.299960e-04
3.449637498551966e-05	3.299960e-04
3.488699998551965e-05	3.299960e-04
3.527762498551965e-05	3.299960e-04
3.566824998551965e-05	3.299960e-04
3.605887498551965e-05	3.299960e-04
